,name,gene_reaction_rule,subunit_num,subunit_mw
GLYCLTtex_reverse_num4,Glycolate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GTPtex_reverse_num1,GTP transport via diffusion (extracellular to periplasm),b0241,3,38.922
GTPtex_reverse_num2,GTP transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GTPtex_reverse_num3,GTP transport via diffusion (extracellular to periplasm),b2215,3,40.36812
GTPtex_reverse_num4,GTP transport via diffusion (extracellular to periplasm),b0929,3 ,39.33331
GUAtex_reverse,Guanine transport via diffusion (extracellular to periplasm),b0411,1,33.58902
Htex_reverse_num1,Proton transport via diffusion (extracellular to periplasm),b1377,1,41.21985
Htex_reverse_num2,Proton transport via diffusion (extracellular to periplasm),b0241,3,38.922
Htex_reverse_num3,Proton transport via diffusion (extracellular to periplasm),b0929,3,39.33331
Htex_reverse_num4,Proton transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
H2tex_reverse_num1,Hydrogen transport via diffusion (extracellular to periplasm),b1377,1,41.21985
H2tex_reverse_num2,Hydrogen transport via diffusion (extracellular to periplasm),b0241,3,38.922
H2tex_reverse_num3,Hydrogen transport via diffusion (extracellular to periplasm),b0929,3,39.33331
H2tex_reverse_num4,Hydrogen transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
H2Otex_reverse_num1,H2O transport via diffusion (extracellular to periplasm),b1377,1,41.21985
H2Otex_reverse_num2,H2O transport via diffusion (extracellular to periplasm),b2215,3,40.36812
H2Otex_reverse_num3,H2O transport via diffusion (extracellular to periplasm),b1319,1,34.91325
H2Otex_reverse_num4,H2O transport via diffusion (extracellular to periplasm),b3875,1,27.20029
H2Otex_reverse_num5,H2O transport via diffusion (extracellular to periplasm),b0957,1,37.20076
H2Otex_reverse_num6,H2O transport via diffusion (extracellular to periplasm),b0241,3,38.922
H2Otex_reverse_num7,H2O transport via diffusion (extracellular to periplasm),b0929,3 ,39.33331
DAPtex_reverse_num1,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b1377,1,41.21985
DAPtex_reverse_num2,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b0241,3,38.922
DAPtex_reverse_num3,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b0929,3,39.33331
DAPtex_reverse_num4,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b2215,3 ,40.36812
12PPDStex_reverse_num1,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377,1,41.21985
12PPDStex_reverse_num2,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b0241,3,38.922
12PPDStex_reverse_num3,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b0929,3,39.33331
12PPDStex_reverse_num4,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b2215,3 ,40.36812
DDGLCNtex_reverse_num1,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
DDGLCNtex_reverse_num2,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b0241,3,38.922
DDGLCNtex_reverse_num3,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
DDGLCNtex_reverse_num4,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
26DAHtex_reverse_num1,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b1377,1,41.21985
26DAHtex_reverse_num2,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b0241,3,38.922
26DAHtex_reverse_num3,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b0929,3,39.33331
26DAHtex_reverse_num4,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b2215,3 ,40.36812
HCINNMtex_reverse_num1,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b1377,1,41.21985
HCINNMtex_reverse_num2,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b0241,3,38.922
HCINNMtex_reverse_num3,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b0929,3,39.33331
HCINNMtex_reverse_num4,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
HPPPNtex_reverse_num1,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b2215,3,40.36812
HPPPNtex_reverse_num2,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
HPPPNtex_reverse_num3,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
HPPPNtex_reverse_num4,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b0241,3 ,38.922
ACtex_reverse_num1,Acetate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACtex_reverse_num2,Acetate transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACtex_reverse_num3,Acetate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACtex_reverse_num4,Acetate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACALDtex_reverse_num1,Acetaldehyde transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ACALDtex_reverse_num2,Acetaldehyde transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACALDtex_reverse_num3,Acetaldehyde transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACALDtex_reverse_num4,Acetaldehyde transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACMANAtex_reverse_num1,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ACMANAtex_reverse_num2,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b2215,3,40.36812
ACMANAtex_reverse_num3,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
ACMANAtex_reverse_num4,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b1377,1 ,41.21985
ACACT7r_reverse_num1,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),b2342,1,46.5305
ACACT7r_reverse_num2,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),b3845,2 ,40.8762
ACACT2r_reverse_num1,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),b2342,1,46.5305
ACACT2r_reverse_num2,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),b3845,2 ,40.8762
ACACT3r_reverse_num1,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),b2342,1,46.5305
ACACT3r_reverse_num2,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),b3845,2 ,40.8762
ACACT4r_reverse_num1,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),b2342,1,46.5305
ACACT4r_reverse_num2,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),b3845,2 ,40.8762
SUCFUMtpp_reverse_num1,Succinate:fumarate antiporter (periplasm),b0621,1,48.41221
SUCFUMtpp_reverse_num2,Succinate:fumarate antiporter (periplasm),b4123,1,47.93526
SUCFUMtpp_reverse_num3,Succinate:fumarate antiporter (periplasm),b4138,1 ,45.75071
TARTRt7pp_reverse,Tartrate/succinate antiporter (periplasm),b3063,1,52.90643
AHGDx_reverse,(S)-alpha-hydroxyglutarate dehydrogenase,b2913,4,44.17578
AKGt2rpp_reverse,2-oxoglutarate reversible transport via symport (periplasm),b2587,1,47.0525
THMDt2pp_copy2_reverse,,b2406,1,46.13983
TRPt2rpp_reverse_num1,L-tryptophan reversible transport via proton symport (periplasm),b3709,1,45.21068
TRPt2rpp_reverse_num2,L-tryptophan reversible transport via proton symport (periplasm),b3161,1,44.33257
TRPt2rpp_reverse_num3,L-tryptophan reversible transport via proton symport (periplasm),b0112,1 ,49.69013
TYRt2rpp_reverse_num1,L-tyrosine reversible transport via proton symport (periplasm),b1907,1,42.81913
TYRt2rpp_reverse_num2,L-tyrosine reversible transport via proton symport (periplasm),b0112,1 ,49.69013
URIt2pp_copy2_reverse,,b2406,1,46.13983
XTSNt2rpp_reverse,Xanthosine transport via proton symport (periplasm),b2406,1,46.13983
GALtex_reverse_num1,D-galactose transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GALtex_reverse_num2,D-galactose transport via diffusion (extracellular to periplasm),b0241,3,38.922
GALtex_reverse_num3,D-galactose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GALtex_reverse_num4,D-galactose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GALCTtex_reverse_num1,D-galactarte transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GALCTtex_reverse_num2,D-galactarte transport via diffusion (extracellular to periplasm),b0241,3,38.922
GALCTtex_reverse_num3,D-galactarte transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GALCTtex_reverse_num4,D-galactarte transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GALCTNtex_reverse_num1,D-galactonate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GALCTNtex_reverse_num2,D-galactonate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GALCTNtex_reverse_num3,D-galactonate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GALCTNtex_reverse_num4,D-galactonate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GALTtex_reverse_num1,Galactitol transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GALTtex_reverse_num2,Galactitol transport via diffusion (extracellular to periplasm),b0241,3,38.922
GALTtex_reverse_num3,Galactitol transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GALTtex_reverse_num4,Galactitol transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GALURtex_reverse_num1,D-galacturonate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GALURtex_reverse_num2,D-galacturonate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GALURtex_reverse_num3,D-galacturonate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GALURtex_reverse_num4,D-galacturonate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACACt2pp_reverse,Acetoacetate transport via proton symport  (periplasm),b2223,1,47.52771
TKT2_reverse_num1,Transketolase,b2935,2,72.21174
TKT2_reverse_num2,Transketolase,b2465,1 ,73.04272
GAMtex_reverse_num1,D-glucosamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GAMtex_reverse_num2,D-glucosamine transport via diffusion (extracellular to periplasm),b0241,3,38.922
GAMtex_reverse_num3,D-glucosamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GAMtex_reverse_num4,D-glucosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GBBTNtex_reverse_num1,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GBBTNtex_reverse_num2,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b0241,3,38.922
GBBTNtex_reverse_num3,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GBBTNtex_reverse_num4,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ARBt2rpp_reverse,L-arabinose transport via proton symport (periplasm),b2841,1,51.68443
ARGAGMt7pp_reverse,Arginine/agmatine antiport (periplasm),b4115,2,46.84262
ASNt2rpp_reverse,L-asparagine reversible transport via proton symport (periplasm),b1453,1,54.23309
HIStex_reverse_num1,L-histidine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
HIStex_reverse_num2,L-histidine transport via diffusion (extracellular to periplasm),b0241,3,38.922
HIStex_reverse_num3,L-histidine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
HIStex_reverse_num4,L-histidine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
HXAtex_reverse_num1,Hexanoate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
HXAtex_reverse_num2,Hexanoate transport via diffusion (extracellular to periplasm),b0241,3,38.922
HXAtex_reverse_num3,Hexanoate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
HXAtex_reverse_num4,Hexanoate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
HYXNtex_reverse_num1,Hypoxanthine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
HYXNtex_reverse_num2,Hypoxanthine transport via diffusion (extracellular to periplasm),b2215,3,40.36812
HYXNtex_reverse_num3,Hypoxanthine transport via diffusion (extracellular to periplasm),b0241,3,38.922
HYXNtex_reverse_num4,Hypoxanthine transport via diffusion (extracellular to periplasm),b1377,1 ,41.21985
IDONtex_reverse_num1,L-idonate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
IDONtex_reverse_num2,L-idonate transport via diffusion (extracellular to periplasm),b0241,3,38.922
IDONtex_reverse_num3,L-idonate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
IDONtex_reverse_num4,L-idonate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ILEtex_reverse_num1,L-isoleucine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ILEtex_reverse_num2,L-isoleucine transport via diffusion (extracellular to periplasm),b0241,3,38.922
ILEtex_reverse_num3,L-isoleucine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ILEtex_reverse_num4,L-isoleucine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
INSTtex_reverse_num1,Inositol transport via diffusion (extracellular to periplasm),b1377,1,41.21985
INSTtex_reverse_num2,Inositol transport via diffusion (extracellular to periplasm),b0241,3,38.922
INSTtex_reverse_num3,Inositol transport via diffusion (extracellular to periplasm),b0929,3,39.33331
INSTtex_reverse_num4,Inositol transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
INStex_reverse,Inosine transport via diffusion (extracellular to periplasm),b0411,1,33.58902
Ktex_reverse_num1,Potassium transport via diffusion (extracellular to periplasm),b1377,1,41.21985
Ktex_reverse_num2,Potassium transport via diffusion (extracellular to periplasm),b0241,3,38.922
Ktex_reverse_num3,Potassium transport via diffusion (extracellular to periplasm),b0929,3,39.33331
Ktex_reverse_num4,Potassium transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
D_LACtex_reverse_num1,D-lactate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
D_LACtex_reverse_num2,D-lactate transport via diffusion (extracellular to periplasm),b0241,3,38.922
D_LACtex_reverse_num3,D-lactate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
D_LACtex_reverse_num4,D-lactate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
FRULYStex_reverse_num1,Fructoselysine transporter via diffusion (extracellular),b1377,1,41.21985
FRULYStex_reverse_num2,Fructoselysine transporter via diffusion (extracellular),b0241,3,38.922
FRULYStex_reverse_num3,Fructoselysine transporter via diffusion (extracellular),b0929,3,39.33331
FRULYStex_reverse_num4,Fructoselysine transporter via diffusion (extracellular),b2215,3 ,40.36812
GALCTt2rpp_reverse_num1,"D-galactarte transport via proton symport, reversible (periplasm)",b2789,1,49.14209
GALCTt2rpp_reverse_num2,"D-galactarte transport via proton symport, reversible (periplasm)",b3127,1 ,49.00924
ASPtex_reverse_num1,L-aspartate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ASPtex_reverse_num2,L-aspartate transport via diffusion (extracellular to periplasm),b0241,3,38.922
ASPtex_reverse_num3,L-aspartate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ASPtex_reverse_num4,L-aspartate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ACt2rpp_reverse,Acetate reversible transport via proton symport (periplasm),b0010,1,20.07088
ATPS4rpp_reverse_num1,ATP synthase (four protons for one ATP) (periplasm),( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ),( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ),( 55.22208 and 31.57742 and 15.06827 and 19.33222 and 50.32542 and 13.63173 and 8.25611 and 30.30326 and 17.26396 )
ATPS4rpp_reverse_num2,ATP synthase (four protons for one ATP) (periplasm),( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) ,50.32542 and 19.33222 and 15.06827 and 31.57742 and 55.22208 and 8.25611 and 30.30326 and 17.26396
INDOLEtex_reverse_num1,Indole transport via diffusion (extracellular to periplasm),b1377,1,41.21985
INDOLEtex_reverse_num2,Indole transport via diffusion (extracellular to periplasm),b0241,3,38.922
INDOLEtex_reverse_num3,Indole transport via diffusion (extracellular to periplasm),b0929,3,39.33331
INDOLEtex_reverse_num4,Indole transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
L_LACtex_reverse_num1,L-lactate transport via diffusion (extracellular to periplasm),b2215,3,40.36812
L_LACtex_reverse_num2,L-lactate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
L_LACtex_reverse_num3,L-lactate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
L_LACtex_reverse_num4,L-lactate transport via diffusion (extracellular to periplasm),b0241,3 ,38.922
ADEt2rpp_reverse_num1,Adenine transport via proton symport (reversible) (periplasm),b3714,1,46.86575
ADEt2rpp_reverse_num2,Adenine transport via proton symport (reversible) (periplasm),b3654,1,48.86804
ADEt2rpp_reverse_num3,Adenine transport via proton symport (reversible) (periplasm),b3664,1 ,46.93362
ADNt2pp_copy2_reverse,,b2406,1,46.13983
ALLTNt2rpp_reverse,Allantoin transport in via proton symport (periplasm),b0511,1,52.45608
ECOAH8_reverse_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b2341,1,77.07221
ECOAH8_reverse_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b3846,2 ,79.59391
GUAtpp_reverse_num1,Guanine transport via diffusion (periplasm),b4464,1,46.75798
GUAtpp_reverse_num2,Guanine transport via diffusion (periplasm),b4064,1 ,45.7115
HYXNtpp_reverse_num1,Hypoxanthine transport (periplasm),b4064,1,45.7115
HYXNtpp_reverse_num2,Hypoxanthine transport (periplasm),b4464,1 ,46.75798
GLCRtex_reverse_num1,D-glucarate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLCRtex_reverse_num2,D-glucarate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GLCRtex_reverse_num3,D-glucarate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLCRtex_reverse_num4,D-glucarate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GLCNtex_reverse_num1,D-gluconate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLCNtex_reverse_num2,D-gluconate transport via diffusion (extracellular to periplasm),b0241,3,38.922
GLCNtex_reverse_num3,D-gluconate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLCNtex_reverse_num4,D-gluconate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GLCURtex_reverse_num1,D-glucuronat transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLCURtex_reverse_num2,D-glucuronat transport via diffusion (extracellular to periplasm),b0241,3,38.922
GLCURtex_reverse_num3,D-glucuronat transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLCURtex_reverse_num4,D-glucuronat transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
GLNtex_reverse_num1,L-glutamine transport via diffusion (extracellular to periplasm),b2215,3,40.36812
GLNtex_reverse_num2,L-glutamine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
GLNtex_reverse_num3,L-glutamine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
GLNtex_reverse_num4,L-glutamine transport via diffusion (extracellular to periplasm),b0241,3 ,38.922
O2tex_reverse_num1,Oxygen transport via diffusion (extracellular to periplasm),b1377,1,41.21985
O2tex_reverse_num2,Oxygen transport via diffusion (extracellular to periplasm),b0241,3,38.922
O2tex_reverse_num3,Oxygen transport via diffusion (extracellular to periplasm),b0929,3,39.33331
O2tex_reverse_num4,Oxygen transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
OCTAtex_reverse_num1,Octanoate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
OCTAtex_reverse_num2,Octanoate transport via diffusion (extracellular to periplasm),b0241,3,38.922
OCTAtex_reverse_num3,Octanoate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
OCTAtex_reverse_num4,Octanoate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ORNtex_reverse_num1,Ornithine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
ORNtex_reverse_num2,Ornithine transport via diffusion (extracellular to periplasm),b0241,3,38.922
ORNtex_reverse_num3,Ornithine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
ORNtex_reverse_num4,Ornithine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
ECOAH5_reverse_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b2341,1,77.07221
ECOAH5_reverse_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b3846,2 ,79.59391
FUCtpp_reverse,L-fucose transport via proton symport (periplasm),b2801,1,47.54491
CYTDt2pp_copy2_reverse,,b2406,1,46.13983
DDGLCNt2rpp_reverse,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",b3909,1,33.66927
RMNtex_reverse_num1,L-rhamnose transport via diffusion (extracellular to periplasm),b0929,3,39.33331
RMNtex_reverse_num2,L-rhamnose transport via diffusion (extracellular to periplasm),b0241,3,38.922
RMNtex_reverse_num3,L-rhamnose transport via diffusion (extracellular to periplasm),b2215,3,40.36812
RMNtex_reverse_num4,L-rhamnose transport via diffusion (extracellular to periplasm),b1377,1 ,41.21985
PHEtex_reverse_num1,L-phenylalanine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PHEtex_reverse_num2,L-phenylalanine transport via diffusion (extracellular to periplasm),b0241,3,38.922
PHEtex_reverse_num3,L-phenylalanine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PHEtex_reverse_num4,L-phenylalanine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PItex_reverse_num1,Phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PItex_reverse_num2,Phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.922
PItex_reverse_num3,Phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PItex_reverse_num4,Phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TRSARr_reverse_num1,Tartronate semialdehyde reductase,b0509,4,30.80058
TRSARr_reverse_num2,Tartronate semialdehyde reductase,b3125,1 ,30.42744
PNTOtex_reverse_num1,Pantothenate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PNTOtex_reverse_num2,Pantothenate transport via diffusion (extracellular to periplasm),b0241,3,38.922
PNTOtex_reverse_num3,Pantothenate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PNTOtex_reverse_num4,Pantothenate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PPPNtex_reverse_num1,3-phenylpropionate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PPPNtex_reverse_num2,3-phenylpropionate transport via diffusion (extracellular to periplasm),b0241,3,38.922
PPPNtex_reverse_num3,3-phenylpropionate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PPPNtex_reverse_num4,3-phenylpropionate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PPTtex_reverse_num1,Phosphonate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PPTtex_reverse_num2,Phosphonate transport via diffusion (extracellular to periplasm),b0241,3,38.922
PPTtex_reverse_num3,Phosphonate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PPTtex_reverse_num4,Phosphonate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PTRCtex_reverse_num1,Putrescine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PTRCtex_reverse_num2,Putrescine transport via diffusion (extracellular to periplasm),b0241,3,38.922
PTRCtex_reverse_num3,Putrescine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PTRCtex_reverse_num4,Putrescine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
PYRtex_reverse_num1,Pyruvate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
PYRtex_reverse_num2,Pyruvate transport via diffusion (extracellular to periplasm),b0241,3,38.922
PYRtex_reverse_num3,Pyruvate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
PYRtex_reverse_num4,Pyruvate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
DSERtex_reverse_num1,D-serine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
DSERtex_reverse_num2,D-serine transport via diffusion (extracellular to periplasm),b0241,3,38.922
DSERtex_reverse_num3,D-serine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
DSERtex_reverse_num4,D-serine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
SERtex_reverse_num1,L-serine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
SERtex_reverse_num2,L-serine transport via diffusion (extracellular to periplasm),b0241,3,38.922
SERtex_reverse_num3,L-serine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
SERtex_reverse_num4,L-serine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
SO4tex_reverse_num1,Sulfate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
SO4tex_reverse_num2,Sulfate transport via diffusion (extracellular to periplasm),b0241,3,38.922
SO4tex_reverse_num3,Sulfate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
SO4tex_reverse_num4,Sulfate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
SPMDtex_reverse_num1,Spermidine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
SPMDtex_reverse_num2,Spermidine transport via diffusion (extracellular to periplasm),b2215,3,40.36812
SPMDtex_reverse_num3,Spermidine transport via diffusion (extracellular to periplasm),b0241,3,38.922
SPMDtex_reverse_num4,Spermidine transport via diffusion (extracellular to periplasm),b1377,1 ,41.21985
SUCCtex_reverse_num1,Succinate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
SUCCtex_reverse_num2,Succinate transport via diffusion (extracellular to periplasm),b0241,3,38.922
SUCCtex_reverse_num3,Succinate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
SUCCtex_reverse_num4,Succinate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
SUCRtex_reverse_num1,Sucrose transport transport via diffusion (extracellular to periplasm),b1377,1,41.21985
SUCRtex_reverse_num2,Sucrose transport transport via diffusion (extracellular to periplasm),b0241,3,38.922
SUCRtex_reverse_num3,Sucrose transport transport via diffusion (extracellular to periplasm),b0929,3,39.33331
SUCRtex_reverse_num4,Sucrose transport transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TARTRtex_reverse_num1,Tartrate transport via diffusion (extracellular to periplasm),b1377,1,41.21985
TARTRtex_reverse_num2,Tartrate transport via diffusion (extracellular to periplasm),b0241,3,38.922
TARTRtex_reverse_num3,Tartrate transport via diffusion (extracellular to periplasm),b0929,3,39.33331
TARTRtex_reverse_num4,Tartrate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
TAURtex_reverse_num1,Taurine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
TAURtex_reverse_num2,Taurine transport via diffusion (extracellular to periplasm),b0241,3,38.922
TAURtex_reverse_num3,Taurine transport via diffusion (extracellular to periplasm),b0929,3,39.33331
TAURtex_reverse_num4,Taurine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36812
THRtex_reverse_num1,L-threonine transport via diffusion (extracellular to periplasm),b1377,1,41.21985
