,name,gene_reaction_rule,subunit_mw,subunit_num
DCYTtex_reverse,Deoxycytidine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
DGSNtex_reverse,Deoxyguanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LCTStex_reverse,Lactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LEUtex_reverse,L-leucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LYStex_reverse,L-lysine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LYXtex_reverse,L-Lyxose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MANtex_reverse,D-mannose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MAN6Ptex_reverse,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
MELIBtex_reverse,Melibiose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DMSOtex_reverse,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DURItex_reverse,Deoxyuridine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
FRUtex_reverse,D-fructose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FUCtex_reverse,L-fucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FUMtex_reverse,Fumarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACACT5r_reverse,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),b3845 or b2342,40.8762 or 46.5305 ,2 or 1 
FE2tex_reverse,Iron (II) transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NMNtex_reverse,NMN transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NO2tex_reverse,Nitrite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MTHFC_reverse,Methenyltetrahydrofolate cyclohydrolase,b0529,31.04375,2
MTHFD_reverse,Methylenetetrahydrofolate dehydrogenase (NADP),b0529,31.04375,2
BUTt2rpp_reverse,"Butyrate transport via proton symport, reversible (periplasm)",b2223,47.52771,1
GDPtex_reverse,GDP transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
TMAtex_reverse,Trimethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TMAOtex_reverse,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TREtex_reverse,Trehalose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACACT6r_reverse,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),b2342 or b3845,46.5305 or 40.8762 ,1 or 2 
TRPtex_reverse,L-tryptophan transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TSULtex_reverse,Thiosulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TYRtex_reverse,L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
URAtex_reverse,Uracil transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UREAtex_reverse,Urea transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
URItex_reverse,Uridine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
VALtex_reverse,L-valine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XANtex_reverse,Xanthine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XYLtex_reverse,D-xylose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ABUTtex_reverse,4-aminobutyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GGGABADr_reverse,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,b1300,53.41863,1
MALTATr_reverse,Maltose O-acetyltransferase,b0459,20.09599,3
23CAMPtex_reverse,23cAMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CCMPtex_reverse,23cCMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CUMPtex_reverse,23cUMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CGMPtex_reverse,23cGMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3AMPtex_reverse,3AMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3CMPtex_reverse,3CMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ALAGLUE_reverse,L-alanyl-gamma-glutamate epimerase,b1325,34.67401,1
ETHSO3tex_reverse,Ethanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
BUTSO3tex_reverse,Butanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LIPOtex_reverse,Lipoate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b2215 or b0241,39.33331 or 41.21985 or 40.36812 or 38.922 ,3 or 1 or 3 or 3 
GALBDtex_reverse,Beta D-galactose transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
SULFACtex_reverse,Sulfoaceate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NOtex_reverse,Nitric oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
N2Otex_reverse,Nitrious oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CRNt2rpp_reverse,L-carnitine outward transport (H+ antiport),b4111,54.84582,2
CRNDt2rpp_reverse,D-carnitine outward transport (H+ antiport),b4111,54.84582,2
CTBTt2rpp_reverse,Cronobetaine outward transport (H+ antiport),b4111,54.84582,2
PEAMNtex_reverse,Phenethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PACALDtex_reverse,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CYANtex_reverse,Cyanide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SO3tex_reverse,Sulfite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TCYNTtex_reverse,Thiocyanate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
METSOX1tex_reverse,L-methionine S-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
METSOX2tex_reverse,L-methionine R-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3UMPtex_reverse,3UMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3GMPtex_reverse,3GMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DOPAtex_reverse,Dopamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
4HOXPACDtex_reverse,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ETHAtex_reverse,Ethanolamine transport via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
G3PStex_reverse,Glycerophosphserine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACGAL1Ptex_reverse,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACGALtex_reverse,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLCUR1Ptex_reverse,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGLCURtex_reverse,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ISETACtex_reverse,Isethionate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGtex_reverse,UDPglucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGALtex_reverse,UDPgalactose transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
ACGAM1Ptex_reverse,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UACGAMtex_reverse,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPACGALtex_reverse,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CBLAT_reverse,Cob(I)alamin adenosyltransferase,b1270,21.99889,1
MSO3tex_reverse,Methanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ARABDI_reverse,L-fucose isomerase,b2802,64.97667,6
GLYC2Ptex_reverse,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PSERtex_reverse,Phospho-L-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
R5Ptex_reverse,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
THRPtex_reverse,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TYRPtex_reverse,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CITtex_reverse,Citrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACGAtex_reverse,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
IDONt2rpp_reverse,"L-idonate transport via proton symport, reversible (periplasm)",b4265,46.04129,1
G6Ptex_reverse,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MOBDtex_reverse,Molybdate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NI2tex_reverse,Nickel transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
L_LACt2rpp_reverse,L-lactate reversible transport via proton symport (periplasm),b3603 or b2975,59.1682 or 58.92016 ,1 or 1 
NH4tpp_reverse,Ammonia reversible transport (periplasm),b0451,44.51469,3
NO2t2rpp_reverse,"Nitrite transport in via proton symport, reversible (periplasm)",b1223 or b3367,49.69344 or 28.56252 ,1 or 1 
FRULYSDG_reverse,Fructoselysine phosphate deglycase,b3371,38.56923,12
PROt2rpp_reverse,L-proline reversible transport via proton symport (periplasm),b4111 or b0402,54.84582 or 50.216 ,2 or 1 
H2O2tex_reverse,Hydrogen peroxide transport via diffusion (external),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ALLPI_reverse,Allose 6-phosphate isomerase,b4090,16.07332,2
ALLULPE_reverse,Allulose 6-phosphate epimerase,b4085,26.10919,1
ADEtex_reverse,Adenine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ADNtex_reverse,Adenosine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
AGMtex_reverse,Agmatine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ALAtex_reverse,L-alanine transport via diffusion (extracellular to periplasm),b2215 or b0241 or b1377 or b0929,40.36812 or 38.922 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
BALAtex_reverse,Beta-alanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DALAtex_reverse,D-Alanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
AMPtex_reverse,AMP transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
ARBtex_reverse,L-arabinose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ARGtex_reverse,L-arginine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ASCBtex_reverse,L-ascorbate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MMETtex_reverse,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FE3tex_reverse,Iron (III) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MG2tex_reverse,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
Zn2tex_reverse,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CD2tex_reverse,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLUABUTt7pp_reverse,4-aminobutyrate/glutamate antiport (periplasm),b1492,55.07667,1
GLUt2rpp_reverse,"L-glutamate transport via proton symport, reversible (periplasm)",b4077,47.15919,1
GLYALDtpp_reverse,Glyceraldehyde facilitated diffusion (periplasm),b3927,29.77999,4
DHPTPE_reverse,Dihydroneopterin triphosphate 2'-epimerase,b2303,14.08204,8
ASO3tex_reverse,Arsenite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
MANGLYCtex_reverse,2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FRUURt2rpp_reverse,"D-fructuronate transport via proton symport, reversible (periplasm)",b4321,47.13793,1
FRUURtex_reverse,D-fructuronate transport via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYCAt2rpp_reverse,"D-glycerate transport via proton symport, reversible (periplasm)",b3127 or b2789,49.00924 or 49.14209 ,1 or 1 
GLYCAtex_reverse,D-glycerate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FALDH2_reverse,Formaldehyde dehydrogenase,b0356,39.35899,2
GLYCtpp_reverse,Glycerol transport via channel (periplasm),b3927,29.77999,4
H2Otpp_reverse,H2O transport via diffusion (periplasm),b0875,23.7028,4
HCINNMt2rpp_reverse,"3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)",b0353,41.55075,1
HISt2rpp_reverse,L-histidine reversible transport via proton symport (periplasm),b0112,49.69013,1
CBIAT_reverse,Cobinamide adenyltransferase,b1270,21.99889,1
COBALT2tex_reverse,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DIMPtex_reverse,DIMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GALURt2rpp_reverse,"D-galacturonate transport via proton symport, reversible (periplasm)",b3093,46.89232,1
GLCNt2rpp_reverse,"D-gluconate transport via proton symport, reversible (periplasm)",b3415 or b4321 or b4476 or b4265,45.96659 or 47.13793 or 46.4159 or 46.04129 ,1 or 1 or 1 or 1 
GLCRt2rpp_reverse,"D-glucarate transport via proton symport, reversible (periplasm)",b3127 or b2789,49.00924 or 49.14209 ,1 or 1 
GLCURt2rpp_reverse,"D-glucuronate transport via proton symport, reversible (periplasm)",b3909 or b3093,33.66927 or 46.89232 ,1 or 1 
XTSNtex_reverse,Xanthosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLUDy_reverse,Glutamate dehydrogenase (NADP),b1761 or ( b3213 and b3212 ),48.58137 or ( 52.01527 and 163.29699 ) ,6 or ( 4 and 4 ) 
UREAtpp_reverse,Urea transport via facilitate diffusion (periplasm),b3927,29.77999,4
PPPNt2rpp_reverse,"3-phenylpropionate transport via proton symport, reversible (periplasm)",b2536,41.59273,1
PTRCORNt7pp_reverse,Putrescine/ornithine antiporter (periplasm),b0692,46.49486,1
HG2tex_reverse,Mercury (Hg+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DADNtex_reverse,Deoxyadenosine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
DHAtex_reverse,Dihydroxyacetone transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ETOHtex_reverse,Ethanol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
HACD3_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
ACACtex_reverse,Acetoacetate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACNAMtex_reverse,N-acetylneuraminate transport via diffusion (extracellular to periplasm),b0929 or b4311 or b2215,39.33331 or 27.88802 or 40.36812 ,3 or 1 or 3 
H2Stex_reverse,H2s transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
E4PD_reverse,Erythrose 4-phosphate dehydrogenase,b2927 or b1779,37.29939 or 35.53249 ,4 or 4 
DADK_reverse,Deoxyadenylate kinase,b0474,23.58602,1
4PEPTtex_reverse,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CRNCAR_reverse,Carnitine-CoA racemase,b0036,28.19024,1
GLYCLTt2rpp_reverse,"Glycolate transport via proton symport, reversible (periplasm)",b3603 or b2975,59.1682 or 58.92016 ,1 or 1 
HPPPNt2rpp_reverse,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)",b0353,41.55075,1
DHFR_reverse,Dihydrofolate reductase,b1606 or b0048,26.3483 or 17.99938 ,1 or 1 
TYRTA_reverse,Tyrosine transaminase,b0928 or b4054 or b3770,43.57336 or 43.53781 or 34.09365 ,2 or 2 or 6 
PUNP4_reverse,Purine-nucleoside phosphorylase (Deoxyguanosine),b2407 or b4384,29.83462 or 25.94991 ,6 or 6 
AMAOTr_reverse,Adenosylmethionine-8-amino-7-oxononanoate transaminase,b0774,47.33559,2
ARGORNt7pp_reverse,Arginine/ornithine antiporter (periplasm),b1605,49.50147,1
CU2tex_reverse,Copper (Cu+2) transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
GLCATr_reverse,D-glucose O-acetyltransferase,b0459,20.09599,3
ALAALAr_reverse,D-alanine-D-alanine ligase (reversible),b0381 or b0092,39.31581 or 32.83971 ,1 or 2 
CLtex_reverse,Chloride (Cl-1) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACACT1r_reverse,Acetyl-CoA C-acetyltransferase,b2342 or b2224 or b3845,46.5305 or 40.35248 or 40.8762 ,1 or 4 or 2 
SUCOAS_reverse,Succinyl-CoA synthetase (ADP-forming),b0729 and b0728,29.77748 and 41.39265 ,2 and 2 
GALKr_reverse,Galactokinase,b0757,41.4421,1
YUMPS_reverse,YUMP synthetase,b2165,32.91,3
ADSL1r_reverse,Adenylsuccinate lyase,b1131,51.54281,4
AICART_reverse,Phosphoribosylaminoimidazolecarboxamide formyltransferase,b4006,57.32921,1
PROtex_reverse,L-proline transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
SBTtex_reverse,D-sorbitol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PGM_reverse,Phosphoglycerate mutase,b0755 or b3612,28.5564 or 56.19389 ,2 or 1 
TPI_reverse,Triose-phosphate isomerase,b3919,26.97181,2
RPI_reverse,Ribose-5-phosphate isomerase,b2914 or b4090,22.8604 or 16.07332 ,2 or 2 
