,name,gene_reaction_rule,subunit_num
PGK_reverse,Phosphoglycerate kinase,b2926,1
RPE_reverse,Ribulose 5-phosphate 3-epimerase,b3386,1
TALA_reverse,Transaldolase,b0008 or b2464,2 or 1 
TKT1_reverse,Transketolase,b2935 or b2465,2 or 1 
ALCD2x_reverse,Alcohol dehydrogenase (ethanol),b1241 or b1478,40 or 4 
RMI_reverse,L-rhamnose isomerase,b3903,4
NDPK6_reverse,Nucleoside-diphosphate kinase (ATP:dUDP),b0474 or b2518,1 or 4 
NDPK8_reverse,Nucleoside-diphosphate kinase (ATP:dADP),b0474 or b2518,1 or 4 
PYNP2r_reverse,Pyrimidine-nucleoside phosphorylase (uracil),b3831,6
DURIPP_reverse,Deoxyuridine phosphorylase,b4382 or b4384,2 or 6 
TRPAS2_reverse,Tryptophanase (L-tryptophan),b3708,4
ILETA_reverse,Isoleucine transaminase,b3770,6
VALTA_reverse,Valine transaminase,b3770,6
ORPT_reverse,Orotate phosphoribosyltransferase,b3642,2
PTAr_reverse,Phosphotransacetylase,b2297 or b2458,6 or 2 
ACKr_reverse,Acetate kinase,b1849 or b2296 or b3115,1 or 1 or 1 
AIRC3_reverse,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,8
ADSL2r_reverse,Adenylosuccinate lyase,b1131,4
PUNP5_reverse,Purine-nucleoside phosphorylase (Inosine),b2407 or b4384,6 or 6 
PUNP6_reverse,Purine-nucleoside phosphorylase (Deoxyinosine),b4384 or b2407,6 or 6 
PUNP7_reverse,Purine-nucleoside phosphorylase (Xanthosine),b2407,6
PUNP1_reverse,Purine-nucleoside phosphorylase (Adenosine),b4384,6
PUNP2_reverse,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,6
PUNP3_reverse,Purine-nucleoside phosphorylase (Guanosine),b2407 or b4384,6 or 6 
LYSAM_reverse,"Lysine 2,3-aminomutase",b4146,1
IPPMIa_reverse,3-isopropylmalate dehydratase,b0071 and b0072,1 and 1 
MDH_reverse,Malate dehydrogenase,b3236,2
FUM_reverse,Fumarase,b4122 or b1612 or b1611,2 or 2 or 4 
OHPBAT_reverse,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,2
AGPR_reverse,N-acetyl-g-glutamyl-phosphate reductase,b3958,1
G1SAT_reverse,Glutamate-1-semialdehyde aminotransferase,b0154,2
GUI1_reverse,Glucuronate isomerase (D-glucuronate),b3092,1
PGAMT_reverse,Phosphoglucosamine mutase,b3176,1
GLUR_reverse,Glutamate racemase,b3967,1
UAG2E_reverse,UDP-N-acetylglucosamine 2-epimerase,b3786,2
HACD5_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846 or b2341,2 or 1 
GHMT2r_reverse,"Glycine hydroxymethyltransferase, reversible",b2551,2
ADK4_reverse,Adentylate kinase (ITP),b0474,1
KARA1_reverse,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,4
KARA2_reverse,Ketol-acid reductoisomerase (2-Acetolactate),b3774,4
ICHORS_copy2_reverse,,b2265,2
DHBD_reverse,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,4
RBP4E_reverse,L-ribulose-phosphate 4-epimerase,b4198 or b0061 or b3583,1 or 4 or 1 
HACD6_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846 or b2341,2 or 1 
ECOAH1_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341 or b3846,1 or 2 
ECOAH2_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341 or b3846,1 or 2 
ECOAH3_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341 or b3846,1 or 2 
UGLT_reverse,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,2
XYLI2_reverse,Xylose isomerase,b3565,4
PMANM_reverse,Phosphomannomutase,b2048,1
UDPG4E_reverse,UDPglucose 4-epimerase,b0759,2
XYLI1_reverse,Xylose isomerase,b3565,4
LCARS_reverse,"Lacaldehyde reductase (S-propane-1,2-diol forming)",b2799,2
ALCD19_reverse,Alcohol dehydrogenase (glycerol),b1478 or b1241,4 or 40 
RMPA_reverse,Rhamnulose-1-phosphate aldolase,b3902,4
SBTPD_reverse,Sorbitol-6-phosphate dehydrogenase,b2705,4
GLTPD_reverse,Galactitol-1-phosphate dehydrogenase,b2091,2
TGBPA_reverse,Tagatose-bisphosphate aldolase,( b3132 and b3137 ) or ( b2095 and b2096 ),( 1 and 4 ) or ( 1 and 1 ) 
MANAO_reverse,Mannonate oxidoreductase,b4323,1
TAGURr_reverse,Tagaturonate reductase,b1521,1
HACD4_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),b3846 or b2341,2 or 1 
HACD7_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),b2341 or b3846,1 or 2 
ADK1_reverse,Adenylate kinase,b0474,1
SERASr_reverse,(L-seryl)adenylate synthase,b0586,1
MLTP2_reverse,Maltodextrin phosphorylase (maltohexaose),b3417,2
CYTK1_reverse,Cytidylate kinase (CMP),b0910,1
CYTK2_reverse,Cytidylate kinase (dCMP),b0910,1
GK1_reverse,Guanylate kinase (GMP:ATP),b3648,2
HACD1_reverse,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),b3846 or b2341,2 or 1 
HACD2_reverse,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),b3846 or b2341,2 or 1 
NDPK7_reverse,Nucleoside-diphosphate kinase (ATP:dCDP),b0474 or b2518,1 or 4 
GLYAT_reverse,Glycine C-acetyltransferase,b3617,2
CRNBTCT_reverse,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,b0038,2
CRNCBCT_reverse,Crotonobetainyl-CoA: carnitine CoA transferase,b0038,2
CRNCDH_reverse,Carnityl-CoA dehydratse,b0036,1
NDPK2_reverse,Nucleoside-diphosphate kinase (ATP:UDP),b0474 or b2518,1 or 4 
NDPK3_reverse,Nucleoside-diphosphate kinase (ATP:CDP),b2518 or b0474,4 or 1 
NDPK4_reverse,Nucleoside-diphosphate kinase (ATP:dTDP),b0474 or b2518,1 or 4 
DGK1_reverse,Deoxyguanylate kinase (dGMP:ATP),b3648,2
DTMPK_reverse,DTMP kinase,b1098,1
NDPK1_reverse,Nucleoside-diphosphate kinase (ATP:GDP),b0474 or b2518,1 or 4 
PGMT_reverse,Phosphoglucomutase,b0688 or b2690 or b1317,1 or 1 or 1 
UMPK_reverse,UMP kinase,b0910 or b0171,1 or 6 
DDPGALA_reverse,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,b4477,1
F6PA_reverse,Fructose 6-phosphate aldolase,b0825 or b3946,10 or 1 
IDOND_reverse,L-idonate 5-dehydrogenase,b4267,1
MCOATA_reverse,Malonyl-CoA-ACP transacylase,b1094 and b1092,1 and 1 
DAPE_reverse,Diaminopimelate epimerase,b3809,2
SDPTA_reverse,Succinyldiaminopimelate transaminase,b2662 or b1302 or b3359 or b1748 or b0907,2 or 1 or 2 or 2 or 2 
ARAI_reverse,L-arabinose isomerase,b0062,6
M1PD_reverse,Mannitol-1-phosphate 5-dehydrogenase,b3600,1
G3PD2_reverse,Glycerol-3-phosphate dehydrogenase (NADP),b3608,2
FCI_reverse,L-fucose isomerase,b2802,6
FCLPA_reverse,L-fuculose 1-phosphate aldolase,b2738 or b2800,1 or 4 
UAGAAT_reverse,UDP-N-acetylglucosamine acyltransferase,b1094 and b0181,1 and 3 
PRPPS_reverse,Phosphoribosylpyrophosphate synthetase,b1207,1
PRMICI_reverse,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,b2024,1
SERAT_reverse,Serine O-acetyltransferase,b3607,6
ASPK_reverse,Aspartate kinase,b3940 or b0002 or b4024,2 or 4 or 2 
ASAD_reverse,Aspartate-semialdehyde dehydrogenase,b3433,2
CBMKr_reverse,Carbamate kinase,b0521,1
AMANAPEr_reverse,N-acetylmannosamine 6-phosphate epimerase,b3223,1
NNATr_reverse,Nicotinate-nucleotide adenylyltransferase,b0639,1
GAPD_reverse,Glyceraldehyde-3-phosphate dehydrogenase,b1779,4
ARGSL_reverse,Argininosuccinate lyase,b3960,1
ACOATA_reverse,Acetyl-CoA ACP transacylase,b1094 and b1091,1 and 2 
MLTP3_reverse,Maltodextrin phosphorylase (maltoheptaose),b3417,2
OCBT_reverse,Ornithine carbamoyltransferase,b4254 or b0273,3 or 3 
GARFT_reverse,Phosphoribosylglycinamide formyltransferase,b2500,1
PHETA1_reverse,Phenylalanine transaminase,b0928 or b4054 or b3770,2 or 2 or 6 
MCITL2_reverse,Methylisocitrate lyase,b0331,4
ACOTA_reverse,Acetylornithine transaminase,b2662 or b1748 or b3359 or b1302,2 or 2 or 2 or 1 
PRAGSr_reverse,Phosphoribosylglycinamide synthase,b4005,1
PPAKr_reverse,Propionate kinase,b3115,1
PPM2_reverse,Phosphopentomutase 2 (deoxyribose),b4383,1
G6PDH2r_reverse,Glucose 6-phosphate dehydrogenase,b1852,1
FBA3_reverse,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",b2925,2
ADK3_reverse,Adentylate kinase (GTP),b0474,1
HSDy_reverse,Homoserine dehydrogenase (NADPH),b3940 or b0002,2 or 4 
GLUtex_reverse,L-glutamate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYtex_reverse,Glycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYALDtex_reverse,Glyceraldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYBtex_reverse,Glycine betaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYCtex_reverse,Glycerol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYC3Ptex_reverse,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYCLTtex_reverse,Glycolate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GTPtex_reverse,GTP transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
GUAtex_reverse,Guanine transport via diffusion (extracellular to periplasm),b0411,1
Htex_reverse,Proton transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
H2tex_reverse,Hydrogen transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
H2Otex_reverse,H2O transport via diffusion (extracellular to periplasm),b1377 or b2215 or b1319 or b3875 or b0957 or b0241 or b0929,1 or 3 or 1 or 1 or 1 or 3 or 3 
DAPtex_reverse,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
12PPDStex_reverse,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DDGLCNtex_reverse,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
26DAHtex_reverse,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HCINNMtex_reverse,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HPPPNtex_reverse,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
ACtex_reverse,Acetate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACALDtex_reverse,Acetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACMANAtex_reverse,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
ACACT7r_reverse,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),b2342 or b3845,1 or 2 
ACACT2r_reverse,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),b2342 or b3845,1 or 2 
ACACT3r_reverse,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),b2342 or b3845,1 or 2 
ACACT4r_reverse,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),b2342 or b3845,1 or 2 
SUCFUMtpp_reverse,Succinate:fumarate antiporter (periplasm),b0621 or b4123 or b4138,1 or 1 or 1 
TARTRt7pp_reverse,Tartrate/succinate antiporter (periplasm),b3063,1
AHGDx_reverse,(S)-alpha-hydroxyglutarate dehydrogenase,b2913,4
AKGt2rpp_reverse,2-oxoglutarate reversible transport via symport (periplasm),b2587,1
THMDt2pp_copy2_reverse,,b2406,1
TRPt2rpp_reverse,L-tryptophan reversible transport via proton symport (periplasm),b3709 or b3161 or b0112,1 or 1 or 1 
TYRt2rpp_reverse,L-tyrosine reversible transport via proton symport (periplasm),b1907 or b0112,1 or 1 
URIt2pp_copy2_reverse,,b2406,1
XTSNt2rpp_reverse,Xanthosine transport via proton symport (periplasm),b2406,1
GALtex_reverse,D-galactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTtex_reverse,D-galactarte transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTNtex_reverse,D-galactonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALTtex_reverse,Galactitol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALURtex_reverse,D-galacturonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACACt2pp_reverse,Acetoacetate transport via proton symport  (periplasm),b2223,1
TKT2_reverse,Transketolase,b2935 or b2465,2 or 1 
GAMtex_reverse,D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GBBTNtex_reverse,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ARBt2rpp_reverse,L-arabinose transport via proton symport (periplasm),b2841,1
ARGAGMt7pp_reverse,Arginine/agmatine antiport (periplasm),b4115,2
ASNt2rpp_reverse,L-asparagine reversible transport via proton symport (periplasm),b1453,1
HIStex_reverse,L-histidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HXAtex_reverse,Hexanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HYXNtex_reverse,Hypoxanthine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
IDONtex_reverse,L-idonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ILEtex_reverse,L-isoleucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
INSTtex_reverse,Inositol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
INStex_reverse,Inosine transport via diffusion (extracellular to periplasm),b0411,1
Ktex_reverse,Potassium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
D_LACtex_reverse,D-lactate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FRULYStex_reverse,Fructoselysine transporter via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTt2rpp_reverse,"D-galactarte transport via proton symport, reversible (periplasm)",b2789 or b3127,1 or 1 
ASPtex_reverse,L-aspartate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACt2rpp_reverse,Acetate reversible transport via proton symport (periplasm),b0010,1
ATPS4rpp_reverse,ATP synthase (four protons for one ATP) (periplasm),( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ) or ( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) 
INDOLEtex_reverse,Indole transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
L_LACtex_reverse,L-lactate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
ADEt2rpp_reverse,Adenine transport via proton symport (reversible) (periplasm),b3714 or b3654 or b3664,1 or 1 or 1 
ADNt2pp_copy2_reverse,,b2406,1
ALLTNt2rpp_reverse,Allantoin transport in via proton symport (periplasm),b0511,1
ECOAH8_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b2341 or b3846,1 or 2 
GUAtpp_reverse,Guanine transport via diffusion (periplasm),b4464 or b4064,1 or 1 
HYXNtpp_reverse,Hypoxanthine transport (periplasm),b4064 or b4464,1 or 1 
GLCRtex_reverse,D-glucarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLCNtex_reverse,D-gluconate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLCURtex_reverse,D-glucuronat transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLNtex_reverse,L-glutamine transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
O2tex_reverse,Oxygen transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
OCTAtex_reverse,Octanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ORNtex_reverse,Ornithine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ECOAH5_reverse,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b2341 or b3846,1 or 2 
FUCtpp_reverse,L-fucose transport via proton symport (periplasm),b2801,1
CYTDt2pp_copy2_reverse,,b2406,1
DDGLCNt2rpp_reverse,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",b3909,1
RMNtex_reverse,L-rhamnose transport via diffusion (extracellular to periplasm),b0929 or b0241 or b2215 or b1377,3 or 3 or 3 or 1 
PHEtex_reverse,L-phenylalanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PItex_reverse,Phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TRSARr_reverse,Tartronate semialdehyde reductase,b0509 or b3125,4 or 1 
PNTOtex_reverse,Pantothenate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PPPNtex_reverse,3-phenylpropionate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PPTtex_reverse,Phosphonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PTRCtex_reverse,Putrescine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PYRtex_reverse,Pyruvate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DSERtex_reverse,D-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SERtex_reverse,L-serine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SO4tex_reverse,Sulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SPMDtex_reverse,Spermidine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
SUCCtex_reverse,Succinate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
SUCRtex_reverse,Sucrose transport transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TARTRtex_reverse,Tartrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TAURtex_reverse,Taurine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
THRtex_reverse,L-threonine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
THMDtex_reverse,Thymidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
METDtex_reverse,D-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
METtex_reverse,L-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MNLtex_reverse,Mannitol transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
NAtex_reverse,Sodium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NACtex_reverse,Nicotinic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NH4tex_reverse,Ammonia transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
BUTtex_reverse,Butyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CHLtex_reverse,Choline transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CO2tex_reverse,CO2 transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CRNtex_reverse,L-carnitine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DINStex_reverse,Deoxyinosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DMStex_reverse,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CSNtex_reverse,Cytosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CYNTtex_reverse,Cyanate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
CYStex_reverse,L-cysteine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
CYTDtex_reverse,Cytidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DCAtex_reverse,Decanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DCYTtex_reverse,Deoxycytidine transport via diffusion (extracellular to periplasm),b0411,1
DGSNtex_reverse,Deoxyguanosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LCTStex_reverse,Lactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LEUtex_reverse,L-leucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LYStex_reverse,L-lysine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
LYXtex_reverse,L-Lyxose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MANtex_reverse,D-mannose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MAN6Ptex_reverse,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
MELIBtex_reverse,Melibiose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DMSOtex_reverse,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DURItex_reverse,Deoxyuridine transport via diffusion (extracellular to periplasm),b0411,1
FRUtex_reverse,D-fructose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FUCtex_reverse,L-fucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FUMtex_reverse,Fumarate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACACT5r_reverse,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),b3845 or b2342,2 or 1 
FE2tex_reverse,Iron (II) transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
NMNtex_reverse,NMN transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NO2tex_reverse,Nitrite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MTHFC_reverse,Methenyltetrahydrofolate cyclohydrolase,b0529,2
MTHFD_reverse,Methylenetetrahydrofolate dehydrogenase (NADP),b0529,2
BUTt2rpp_reverse,"Butyrate transport via proton symport, reversible (periplasm)",b2223,1
GDPtex_reverse,GDP transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
TMAtex_reverse,Trimethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TMAOtex_reverse,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TREtex_reverse,Trehalose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACACT6r_reverse,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),b2342 or b3845,1 or 2 
TRPtex_reverse,L-tryptophan transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TSULtex_reverse,Thiosulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TYRtex_reverse,L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
URAtex_reverse,Uracil transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
